epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.8645,0.78828,2.03399,1.11491,0.99951,1,0.995,0.82854,0.61193,0.80344,1.07788,0.00064,0.00064,0.00064
2,33.8006,0.73573,0.73012,1.06383,0.75008,0.88889,0.94118,0.80875,0.61347,1.05317,0.98307,0.00124852,0.00124852,0.00124852
3,48.9352,0.72948,0.6797,1.03541,0.9808,1,0.98055,0.74754,0.89271,0.88531,1.1354,0.00180477,0.00180477,0.00180477
4,64.1203,0.70648,0.62205,1.0231,0.9975,1,0.995,0.8841,0.55116,0.70132,0.95636,0.0017624,0.0017624,0.0017624
5,79.0432,0.70869,0.61186,1.03473,0.99923,1,0.995,0.82331,0.63182,0.63498,0.98482,0.0016832,0.0016832,0.0016832
6,93.8794,0.68176,0.55489,1.0244,0.99918,1,0.995,0.85937,0.56867,0.54118,0.95875,0.001604,0.001604,0.001604
7,109.128,0.66198,0.5148,1.003,0.99957,1,0.995,0.88904,0.51546,0.50055,0.93037,0.0015248,0.0015248,0.0015248
8,124.26,0.63808,0.52578,0.99985,0.9995,1,0.995,0.89887,0.46329,0.48814,0.90342,0.0014456,0.0014456,0.0014456
9,139.55,0.62281,0.48847,0.98061,0.99955,1,0.995,0.89362,0.4904,0.40411,0.91215,0.0013664,0.0013664,0.0013664
10,154.613,0.62431,0.47565,0.99579,0.99933,1,0.995,0.89478,0.47768,0.42391,0.917,0.0012872,0.0012872,0.0012872
11,169.697,0.61357,0.45569,0.98151,0.99935,1,0.995,0.88148,0.51908,0.47875,0.91219,0.001208,0.001208,0.001208
12,184.612,0.60017,0.45878,0.97919,0.99954,1,0.995,0.90774,0.47497,0.41632,0.90165,0.0011288,0.0011288,0.0011288
13,199.486,0.59976,0.4386,0.98355,0.99948,1,0.995,0.90417,0.4431,0.34673,0.88878,0.0010496,0.0010496,0.0010496
14,214.338,0.57792,0.41272,0.96099,0.99954,1,0.995,0.90285,0.43338,0.31014,0.89327,0.0009704,0.0009704,0.0009704
15,229.296,0.53225,0.37909,0.95631,0.9996,1,0.995,0.87701,0.45062,0.32558,0.90911,0.0008912,0.0008912,0.0008912
16,252.903,0.50344,0.34619,0.93547,0.99956,1,0.995,0.89443,0.46895,0.32602,0.90077,0.000812,0.000812,0.000812
17,267.816,0.50305,0.32915,0.93526,0.99963,1,0.995,0.91177,0.42333,0.2917,0.89101,0.0007328,0.0007328,0.0007328
18,282.65,0.49815,0.32168,0.9265,0.9996,1,0.995,0.90789,0.43175,0.32313,0.88505,0.0006536,0.0006536,0.0006536
19,297.522,0.49086,0.31926,0.93331,0.9996,1,0.995,0.89801,0.43538,0.2894,0.89324,0.0005744,0.0005744,0.0005744
20,312.36,0.47925,0.30487,0.92108,0.9996,1,0.995,0.91009,0.42735,0.26524,0.88889,0.0004952,0.0004952,0.0004952
21,327.134,0.46883,0.29456,0.91306,0.99958,1,0.995,0.91962,0.39599,0.25235,0.87821,0.000416,0.000416,0.000416
22,342.165,0.46972,0.28738,0.92724,0.99959,1,0.995,0.92102,0.38259,0.25291,0.87482,0.0003368,0.0003368,0.0003368
23,356.959,0.4421,0.2682,0.90035,0.99957,1,0.995,0.93015,0.38179,0.22267,0.87223,0.0002576,0.0002576,0.0002576
24,371.905,0.43602,0.25752,0.90681,0.99958,1,0.995,0.92757,0.37913,0.20764,0.86958,0.0001784,0.0001784,0.0001784
25,386.767,0.41283,0.23926,0.89518,0.9996,1,0.995,0.92526,0.3719,0.19536,0.86664,9.92e-05,9.92e-05,9.92e-05
